,latitude,longitude,timestamp,value,measurement,retrieved_at
183,51.7,4.7,2025-07-19T08:00:00Z,23.0,t_2m:C,2025-07-20T16:38:17Z
184,51.7,4.7,2025-07-19T09:00:00Z,25.1,t_2m:C,2025-07-20T16:38:17Z
185,51.7,4.7,2025-07-19T10:00:00Z,27.0,t_2m:C,2025-07-20T16:38:17Z
186,51.7,4.7,2025-07-19T11:00:00Z,28.7,t_2m:C,2025-07-20T16:38:17Z
187,51.7,4.7,2025-07-19T12:00:00Z,29.5,t_2m:C,2025-07-20T16:38:17Z
188,51.7,4.7,2025-07-19T13:00:00Z,30.3,t_2m:C,2025-07-20T16:38:17Z
189,51.7,4.7,2025-07-19T14:00:00Z,30.6,t_2m:C,2025-07-20T16:38:17Z
190,51.7,4.7,2025-07-19T15:00:00Z,29.2,t_2m:C,2025-07-20T16:38:17Z
191,51.7,4.7,2025-07-19T16:00:00Z,25.6,t_2m:C,2025-07-20T16:38:17Z
192,51.7,4.7,2025-07-19T17:00:00Z,25.9,t_2m:C,2025-07-20T16:38:17Z
193,51.7,4.7,2025-07-19T18:00:00Z,25.8,t_2m:C,2025-07-20T16:38:17Z
194,51.7,4.7,2025-07-19T19:00:00Z,22.4,t_2m:C,2025-07-20T16:38:17Z
195,51.7,4.7,2025-07-19T20:00:00Z,22.1,t_2m:C,2025-07-20T16:38:17Z
196,51.7,4.7,2025-07-19T21:00:00Z,21.5,t_2m:C,2025-07-20T16:38:17Z
197,51.7,4.7,2025-07-19T22:00:00Z,20.4,t_2m:C,2025-07-20T16:38:17Z
198,51.7,4.7,2025-07-19T23:00:00Z,19.8,t_2m:C,2025-07-20T16:38:17Z
199,51.7,4.7,2025-07-20T00:00:00Z,18.9,t_2m:C,2025-07-20T16:38:17Z
200,51.7,4.9,2025-07-19T00:00:00Z,19.5,t_2m:C,2025-07-20T16:38:17Z
201,51.7,4.9,2025-07-19T01:00:00Z,18.5,t_2m:C,2025-07-20T16:38:17Z
202,51.7,4.9,2025-07-19T02:00:00Z,18.0,t_2m:C,2025-07-20T16:38:17Z
203,51.7,4.9,2025-07-19T03:00:00Z,17.5,t_2m:C,2025-07-20T16:38:17Z
204,51.7,4.9,2025-07-19T04:00:00Z,17.2,t_2m:C,2025-07-20T16:38:17Z
205,51.7,4.9,2025-07-19T05:00:00Z,18.0,t_2m:C,2025-07-20T16:38:17Z
206,51.7,4.9,2025-07-19T06:00:00Z,19.1,t_2m:C,2025-07-20T16:38:17Z
207,51.7,4.9,2025-07-19T07:00:00Z,21.4,t_2m:C,2025-07-20T16:38:17Z
208,51.7,4.9,2025-07-19T08:00:00Z,23.2,t_2m:C,2025-07-20T16:38:17Z
209,51.7,4.9,2025-07-19T09:00:00Z,25.1,t_2m:C,2025-07-20T16:38:17Z
210,51.7,4.9,2025-07-19T10:00:00Z,26.8,t_2m:C,2025-07-20T16:38:17Z
211,51.7,4.9,2025-07-19T11:00:00Z,28.7,t_2m:C,2025-07-20T16:38:17Z
212,51.7,4.9,2025-07-19T12:00:00Z,29.5,t_2m:C,2025-07-20T16:38:17Z
